STOCK,CURR_PRICE,OPEN,HIGH,LOW,PREV_CLOSE
ICICITECH,262.7,261,262.7,258.9,260.56
MAXINDIA,65.5,65.4,66.45,64.15,65.2
HBANKETF,330.7,333.89,334,328,336.56
UTIBANKETF,32.89,32.53,33.9,32.53,34.29
HAPPSTMNDS,723.8,708,810,705.05,703.1
ROUTE,1639.25,1610,1677.85,1598.45,1608.8
SAMRATFORG,105,110.25,110.25,105,105
ADVAIT,53,#N/A,#N/A,#N/A,53
ADL,27.3,26.6,28.9,26.6,27.55
CAMS,2346,2368,2368,2298.1,2366.25
CHEMCON,426,433.7,435.15,425.8,435.95
SECMARK,57,#N/A,#N/A,#N/A,57
ANGELBRKG,368.6,364.9,375.45,354.8,359.2
ATAM,40,40,40,40,39.9
MAZDOCK,200.5,201,206.9,200,201.65
UTIAMC,638.7,620.6,648.75,620.6,625.85
GMPL,168,#N/A,#N/A,#N/A,168
LIKHITHA,377,374.25,382.75,370,379.05
VGIL,53.55,53.8,53.8,53.55,51.7
HEMIPROP,131.5,132.05,134.85,130.1,134.4
EQUITASBNK,55.45,55.75,56.8,54.25,54.75
SHINEFASH,73,73,73,73,72
GLAND,2778.4,2665,2816.1,2630,2650.8
MAESGETF,25,24.53,25.75,24.53,25.45
BURGERKING,129.85,130,131.95,129.15,131.25
TARC,27.85,27.3,28.3,27,27.6
RVHL,17,16.7,17.35,16.2,17
FAIRCHEMOR,735,726.25,751.4,707.7,730.5
BECTORFOOD,355.8,356,361.9,354.4,358.45
AWHCL,298.25,297,302.2,293.65,300
INFRABEES,419,415.1,429.9,406.1,423.58
RFLL,0,#N/A,#N/A,#N/A,12.95
IRFC,21.3,21,21.4,21,21.2
INDIGOPNTS,2317,2339.9,2349.95,2310,2336.35
HOMEFIRST,496.85,479.95,512.5,479.95,478.55
STOVEKRAFT,459.7,470,470,455.55,465.4
MRP,34.75,34.75,34.75,34.75,34.5
SMCGLOBAL,68.8,70.35,70.35,68.8,68.35
NURECA,1209.45,1209.45,1209.45,1209.45,1273.1
RAILTEL,121.65,122.9,124.4,120,122
HERANBA,714.65,702,727,692.4,700.35
DAVANGERE,15.43,#N/A,#N/A,#N/A,15.43
DRCSYSTEMS,261.15,261.15,261.15,261.15,274.85
MTARTECH,933.7,928,948.95,928,940.55
JUBLINGREA,410.45,372.9,432.6,371,375.75
EASEMYTRIP,186.95,185.05,192.75,184.05,187.65
KMEW,37.05,37.1,37.1,37.05,37.05
RTL,346,314.5,351.5,313,293.9
ANURAS,625,628,639,618.5,631.7
CRAFTSMAN,1345,1347.85,1367.05,1331.8,1360.3
LXCHEM,208,205.6,214.95,204.2,209.8
KALYANKJIL,59.95,61.4,61.4,59.8,61.2
SURYODAY,250.3,246.55,250.75,246.55,249.9
NAZARA,1740.3,1728,1780,1723.25,1746
SUVIDHAA,34.15,34.15,34.15,34.15,35.9
BARBEQUE,624.05,628.8,638.95,620.3,634.2
EKI,317.55,344,349,317.55,334.25
RCAN,18.5,#N/A,#N/A,#N/A,18.5
JETMALL,17,16.15,17,16.15,17
LODHA,593.6,600,621.1,590,600.7
DEEPIND,43.65,43.65,43.65,43.65,41.6
ICICISENSX,522.72,536,542.9,521.1,540
TATAMTRDVR,127.9,129.8,130.5,127.3,130.4
FELDVR,13.24,13.27,13.32,13.11,13.27
JISLDVREQS,13,12.81,13.25,12.8,13.38
SCAPDVR,2.2,2.33,2.36,2.2,2.3
KARURVYSYA,52.25,52.4,53.15,52.1,52.85
TIDEWATER,4493,4589,4646,4447.6,4504.1
AMRUTANJAN,635,637.3,639.5,628,630.15
XPROINDIA,128.35,128.35,128.35,128.35,135.1
HISARMET,112.4,114.45,118.2,112.4,115.75
BHARATRAS,12100,11600,12499,11500,11823.65
EASTSILK,2.63,2.5,2.73,2.5,2.6
FACT,109.3,111.9,115.35,108,113.55
GINNIFILA,21.55,21.5,22.3,21.15,20.6
SPIC,30.45,29.75,31.35,29.75,30.3
DENORA,242.55,252,255.95,242.55,248.4
SAKSOFT,474.7,483.05,483.05,469,472.1
SALONACOT,84,#N/A,#N/A,#N/A,84
ANDHRSUGAR,386.1,376.95,404,370.9,374.4
IMPAL,649.25,643.9,681.45,624.65,643.9
KCP,98.2,98.7,103.6,96.6,96.8
RADAAN,0.83,0.78,0.83,0.78,0.82
SUNDARMFIN,2479.05,2521.75,2525,2469.1,2512
SUNDRMBRAK,324.75,332.65,333,324.75,335.8
WHEELS,445,447.35,455.05,444,459.3
LAMBODHARA,55.95,58.6,58.6,54.95,56.7
MAITHANALL,788.1,784.65,818.75,784.65,795.75
LOHIASEC,38.5,#N/A,#N/A,#N/A,38.5
ORISSAMINE,2346,2380,2450,2334.7,2375.65
NIFTYBEES,156.99,157.98,158.61,156.75,159.13
JUNIORBEES,364.11,363,367.79,361.48,363.65
BANKBEES,328.4,337.33,337.33,327.27,337.91
KOTAKPSUBK,201.16,203,205.69,201,204.27
PSUBNKBEES,22.33,22.6,22.94,22.33,22.67
SHARIABEES,366.8,374.9,376.9,363.7,370.68
QNIFTY,1524,1532,1532,1522,1542
M50,144.7,145.5,146.99,143.15,147.08
ASHIKACR,39.55,40.1,41.15,39.55,39.3
MADRASFERT,25.55,26.4,26.4,24.8,25.4
BLBLEND,0,#N/A,#N/A,#N/A,19.2
BLBLNDS,0,#N/A,#N/A,#N/A,100
SKUMSYN,0,#N/A,#N/A,#N/A,97.4
BLEBLNI,0,#N/A,#N/A,#N/A,100
SKSUGAR,0,#N/A,#N/A,#N/A,22
SKSYNFB,0,#N/A,#N/A,#N/A,81
SKSNFAB,0,#N/A,#N/A,#N/A,96.42
SKUMSNB,0,#N/A,#N/A,#N/A,96.66
SKUMARF,0,#N/A,#N/A,#N/A,154.65
SKUMSYF,0,#N/A,#N/A,#N/A,103.55
TIMEXPS,0,#N/A,#N/A,#N/A,18.3
SKSYNFA,0,#N/A,#N/A,#N/A,18.35
KDDL-RE,190,160,209,150,168.05
SUPERNOVA,#N/A,#N/A,#N/A,#N/A,#N/A
CITYON,#N/A,#N/A,#N/A,#N/A,#N/A
HASJUICE,#N/A,#N/A,#N/A,#N/A,#N/A
WEBSL,#N/A,#N/A,#N/A,#N/A,#N/A
ADHIRAJ,#N/A,#N/A,#N/A,#N/A,#N/A
