STOCK,CURR_PRICE,OPEN,HIGH,LOW,PREV_CLOSE
IPRU9220,11,#N/A,#N/A,#N/A,11
IPRU9221,11,#N/A,#N/A,#N/A,11
APOLLO,102.85,107,108.9,100.05,110.45
NEWGEN,310.85,329.9,329.9,305,324.4
PRAXIS,34.3,34.05,36.45,33.75,35.5
AMBER,3100,3167,3188.55,3084.35,3167.55
TIRUFOAM,60.8,#N/A,#N/A,#N/A,60.8
SRUSTEELS,16.35,#N/A,#N/A,#N/A,16.3
AML,4.02,#N/A,#N/A,#N/A,4.02
GALAXYSURF,2921.7,2897.6,2939,2875,2901.9
GGL,20.4,20.4,20.4,20.4,20.8
MEDICO,115,115,115,115,112
GUJHYSPIN,7.65,#N/A,#N/A,#N/A,7.65
IPRU3034,11.3,#N/A,#N/A,#N/A,11.3
IPRU3035,10.29,#N/A,#N/A,#N/A,10.29
IPRU9236,0,#N/A,#N/A,#N/A,10
IPRU9237,0,#N/A,#N/A,#N/A,10
LAL,7.5,#N/A,#N/A,#N/A,7.5
KENVI,11,#N/A,#N/A,#N/A,11
IWP,31,30.7,32.85,30.7,32.25
TDSL,24,24.3,24.4,23.7,24.15
BHATIA,66,66,66,66,66
SHIVAMILLS,46.5,45.65,47.85,45.65,45.6
ASTERDM,143,147.45,147.45,142.6,145.35
YSL,14400,13900,14400,13900,14401
KANCOTEA,43.25,45,45,41.5,42.2
ANGEL,10.7,10.7,10.7,10.7,10.2
HGINFRA,277.2,277.9,278.2,274.7,273.05
EIS,1004,#N/A,#N/A,#N/A,1004
AXISCBD1D,0,#N/A,#N/A,#N/A,10
AXISCBDGG,0,#N/A,#N/A,#N/A,10
AXISCBDPD,7.7,#N/A,#N/A,#N/A,7.7
AXISCBGPG,10.65,#N/A,#N/A,#N/A,10.65
INFLAME,168.5,170,170,161.65,170.15
DACE2RG,11.61,#N/A,#N/A,#N/A,11.61
DACE2RDP,10.59,#N/A,#N/A,#N/A,10.59
DACE2DG,0,#N/A,#N/A,#N/A,10
DACE2DDP,0,#N/A,#N/A,#N/A,10
ABSLRIF6RG,8.45,#N/A,#N/A,#N/A,8.45
ABSLRIF6RD,11,#N/A,#N/A,#N/A,11
ABSLRIF6DG,0,#N/A,#N/A,#N/A,10
ABSLRIF6DD,0,#N/A,#N/A,#N/A,10
BPLPHARMA,382.4,398,399.85,382.4,402.5
SHREESHAY,16,#N/A,#N/A,#N/A,16
ACFL,45.6,#N/A,#N/A,#N/A,45.6
BDL,337,340,340,336,341.2
ACTIVE,16,#N/A,#N/A,#N/A,16
RIDINGS,7.94,#N/A,#N/A,#N/A,7.94
ADVITIYA,15.5,#N/A,#N/A,#N/A,15.5
BANDHANBNK,329.35,329.8,339.75,324.85,332.1
HAL,956.3,945,959.5,943.15,948.5
KARDA,121.85,128.9,128.9,121,124.45
SANDHAR,188.9,196.8,197.8,188.15,192.15
YASHO,379,375,385.8,356.3,368.25
BENARA,9.2,#N/A,#N/A,#N/A,9.2
ISEC,456.45,456.8,468.35,449.1,466.45
MIDHANI,184,186,190.4,183.15,186.4
LEX,37,#N/A,#N/A,#N/A,37
OBCL,23.25,22.75,23.25,22.75,23.25
TRL,6.85,#N/A,#N/A,#N/A,6.85
LEMONTREE,35.35,34.9,36.6,34.2,34.9
ABSLRIF7RG,7.76,#N/A,#N/A,#N/A,7.76
ABSLRIF7RD,0,#N/A,#N/A,#N/A,10
ABSLRIF7DG,0,#N/A,#N/A,#N/A,10
ABSLRIF7DD,0,#N/A,#N/A,#N/A,10
CHEMFABALKA,156,155.4,162.7,151.75,157.4
HARDWYN,60,60,60,60,58.5
DLCL,23.5,21.6,23.5,21.52,22.65
ORIENTELEC,269.75,277.45,279,266.6,277.45
DHRUV,23.9,#N/A,#N/A,#N/A,23.9
AKSHAR,9.9,#N/A,#N/A,#N/A,9.9
INDOUS,35,#N/A,#N/A,#N/A,35
IPRU3095,11.55,#N/A,#N/A,#N/A,11.55
IPRU3096,10,#N/A,#N/A,#N/A,10
IPRU9297,0,#N/A,#N/A,#N/A,10
IPRU9298,0,#N/A,#N/A,#N/A,10
ICICI500,201.85,202.9,207,201.3,204.72
INDOSTAR,303.25,307,309.1,302.05,310
MILEFUR,11.2,11.2,11.2,11.2,11.65
UHZAVERI,7.65,#N/A,#N/A,#N/A,7.65
KTKIND5RG,0,#N/A,#N/A,#N/A,10
KTKIND5RD,0,#N/A,#N/A,#N/A,10
KTKIND5DG,0,#N/A,#N/A,#N/A,10
KTKIND5DD,0,#N/A,#N/A,#N/A,10
PARVATI,2.35,2.3,2.35,2.13,2.24
MEGASTAR,28,#N/A,#N/A,#N/A,28
INNOVATORS,39,#N/A,#N/A,#N/A,39.55
ZIMLAB,81.25,85.85,88.05,80.3,85.85
ARIHANTINS,2.09,#N/A,#N/A,#N/A,2.09
AFFORDABLE,103.85,109.95,109.95,103.8,108.85
DOLLAR,239.85,240.3,242.5,236.6,240.4
NGIL,26,#N/A,#N/A,#N/A,26
PALMJEWELS,78.55,76.5,80.5,73.2,76.85
WAA,55,56,56.5,55,55.75
ADANIGREEN,1025,1045,1045.05,1011.45,1056.2
UNICK,29.3,29.4,29.4,29.3,28
SOLARA,1523.5,1521.4,1544.9,1490.75,1498.95
GAYAHWS,0.56,0.59,0.59,0.56,0.58
RITES,239.05,235,240.8,235,237.9
FINEORG,2860.15,2893.45,2942.7,2855,2899.85
VARROC,370.3,382.75,384.25,368,383.55
RAJNISH,11,#N/A,#N/A,#N/A,11
HITECHWIND,6.18,5.9,6.18,5.9,5.9
