STOCK,CURR_PRICE,OPEN,HIGH,LOW,PREV_CLOSE
ASAHIINDIA,294.25,298.1,298.5,292,300.8
ASAHISONG,340,355,355,335.5,346.75
ASAL,31.9,32.8,32.8,31.45,32.6
ASALCBR,410.55,424.4,424.4,410,419.1
ASHAPURMIN,155,157,171.9,152.35,158.7
ASHIANA,123.75,123.95,124.45,120.05,123.95
ASHIMASYN,15.45,15.6,16.05,15.1,15.85
ASHOKA,82.4,82.85,85.9,82,83.4
ASHOKLEY,112.45,113.75,115.75,112.1,115.1
ASIANHOTNR,66,64.2,67.5,62.8,65.4
ASIANPAINT,2529,2595,2605.8,2524.05,2613.45
ASIANTILES,155.5,156.35,158.3,155.1,158.5
ASPINWALL,173,184.6,184.95,171.8,176.5
ASTEC,1157,1165,1189.3,1150,1165.55
ASTERDM,143.9,145,146.15,142.35,145.4
ASTRAL,1586,1640,1640,1566.75,1631.95
ASTRAMICRO,116,114.8,118.7,114.25,115.85
ASTRAZEN,3910,3836,3997.95,3803,3878.1
ASTRON,40,40.7,40.7,39.2,40.7
ATFL,842.7,841.3,858.5,812.75,879.35
ATGL,1149.9,1139.95,1159.6,1129,1147.7
ATLANTA,7.3,7.3,8,7.1,7.3
ATUL,8069.25,8399.8,8498.45,8010,8375.05
ATULAUTO,182.5,172,194.8,169.8,172.75
AUBANK,1003,1072,1084,995.05,1124.5
AURIONPRO,170,166.85,177.95,165.35,168.55
AUROPHARMA,978.95,964,989,964,967.2
AUSOMENT,62,63.9,63.9,61.3,62.55
AUTOAXLES,992,975,998,970,984.1
AUTOIND,35.75,35.25,35.95,34.6,35.25
AVADHSUGAR,283.2,259.8,298.7,256.45,264.9
AVANTIFEED,485,494.9,500.6,482,502.5
AVTNPL,47.65,47.7,49.1,47.05,48.6
AWHCL,297.95,296,302.3,294,299.9
AXISBANK,711.65,705,729.85,705,719.4
AXISCADES,60,60.7,64,59.2,60.8
AYMSYNTEX,47.35,45.85,47.9,45.6,45.9
BAFNAPH,132,128.55,132,127,132.25
BAGFILMS,2.6,2.7,2.7,2.6,2.6
BAJAJ-AUTO,3827,3805,3966.35,3800,3836.45
BAJAJCON,280.6,280.7,285.6,278,280.4
BAJAJELEC,1148,1150,1173.15,1118.8,1150.6
BAJAJFINSV,11021,11000,11225,10868.7,11176.55
BAJAJHIND,7.25,6.9,7.65,6.8,7
BAJAJHLDNG,3420,3600,3649,3410,3510.8
BAJFINANCE,5449,5350,5524.65,5327.7,5484.85
BALAJITELE,57,57,58.95,56.05,56.6
BALAMINES,2598,2525,2664.8,2462.85,2536
BALAXI,588.95,564.5,589.25,564.5,561.75
BALKRISHNA,19.9,20.7,20.7,18.8,19.75
BALKRISIND,1760.15,1760,1807.4,1737.75,1766.85
BALLARPUR,1.15,1.15,1.15,1.1,1.15
BALMLAWRIE,128.25,124.65,132,124.1,125.7
BALPHARMA,106.1,116,119.8,105.3,114.3
BALRAMCHIN,276.6,270,285.95,268.55,274.35
BANARBEADS,49.05,49.85,50.25,48.6,48.95
BANARISUG,1730,1667.4,1885.8,1647.35,1667.45
BANCOINDIA,154.55,155,167.5,154,153.2
BANDHANBNK,328,327,339.95,324.7,332.1
BANG,27.7,28.2,28.25,26.85,27.45
BANKA,63.35,62.3,63.85,62,62
BANKBARODA,66.45,65.4,68.4,65.05,66.85
BANKINDIA,66.25,67,67.8,65,67.5
BANSWRAS,103.25,98.5,115,98.5,97.15
BARBEQUE,620.5,626.05,638.8,620,630.9
BARTRONICS,2.2,2.3,2.3,2.2,2.2
BASF,2208.95,2058,2270,2058,2073.95
BASML,61.15,63,63.35,60.65,63.65
BATAINDIA,1362.05,1335,1382.45,1335,1350.5
BAYERCROP,5390,5230,5397,5176.05,5275.2
BBL,1160,1167,1209,1152.8,1161.15
BBTC,1162.95,1170,1187.95,1150,1179.35
BCG,7.65,7.75,7.85,7.6,7.75
BCLIND,121,120.5,125.9,118.65,120.3
BCP,3.15,3.3,3.3,3.15,3.3
BDL,336.55,336.45,339.5,335.65,341.45
BEARDSELL,10.1,10.5,10.7,9.55,10.25
BECTORFOOD,355.95,356.95,362,354.05,358.65
BEDMUTHA,26.15,25.15,27,24.5,25.45
BEL,131.8,128.15,136.45,127.8,129.85
BEML,1162,1151,1208,1148,1164.5
BEPL,159,161.75,165.8,158.2,163.4
BERGEPAINT,704.05,710,716.8,700.45,714.7
BESTAGRO,413.4,426,426,405,432.5
BFINVEST,297,306.8,319.2,296.1,310.85
BFUTILITIE,279.9,282.9,296.5,275.4,286.95
BGRENERGY,46,45.75,48,44.8,45.8
BHAGERIA,161.55,162.1,166.7,160.75,165.75
BHAGYANGR,49.45,49.9,49.9,47.3,47.9
BHAGYAPROP,26.3,27.25,27.25,26.1,27.65
BHANDARI,2.4,2.45,2.45,2.4,2.4
BHARATFORG,610.45,602.75,621,595.25,604.7
